ts_utc,iso,btc_o,btc_h,btc_l,btc_c,btc_v,eth_o,eth_h,eth_l,eth_c,eth_v
1502942400,2017-08-17 04:00,4261.48,4313.62,4261.32,4308.83,47.181009,301.13,302.57,298.0,301.61,125.66877
1502946000,2017-08-17 05:00,4308.83,4328.69,4291.37,4315.32,23.234916,301.61,303.28,300.0,303.1,377.67246
1502949600,2017-08-17 06:00,4330.29,4345.45,4309.37,4324.35,7.229691,302.4,304.44,301.9,302.68,303.86672
1502953200,2017-08-17 07:00,4316.62,4349.99,4287.41,4349.99,4.443249,302.68,307.96,302.6,307.96,754.7451
1502956800,2017-08-17 08:00,4333.32,4377.85,4333.32,4360.69,0.972807,307.95,309.97,307.0,308.62,150.75029
1502960400,2017-08-17 09:00,4360.0,4445.78,4360.0,4444.0,10.763623,308.62,312.0,308.62,310.0,469.27879
1502964000,2017-08-17 10:00,4441.1,4470.0,4399.81,4460.0,24.865399,310.0,310.97,308.54,309.3,284.3914
1502967600,2017-08-17 11:00,4460.0,4485.39,4427.3,4427.3,27.018053,308.3,310.68,307.78,308.95,273.2904
1502971200,2017-08-17 12:00,4436.06,4449.56,4411.0,4411.0,23.032398,308.95,310.51,307.98,308.62,401.79278
1502974800,2017-08-17 13:00,4411.0,4459.0,4411.0,4459.0,31.312436,308.62,309.72,307.77,309.4,310.58042
1502978400,2017-08-17 14:00,4459.0,4485.39,4435.93,4470.82,51.735897,307.77,308.71,305.49,306.5,710.25965
1502982000,2017-08-17 15:00,4470.82,4470.82,4333.42,4352.34,68.48127,306.5,308.76,303.56,307.06,459.41982
1502985600,2017-08-17 16:00,4352.33,4354.35,4255.3,4354.18,67.458791,307.74,312.18,298.21,308.0,596.81077
1502989200,2017-08-17 17:00,4354.18,4354.84,4235.45,4289.24,59.664912,308.0,308.33,303.98,308.33,191.94856
1502992800,2017-08-17 18:00,4289.24,4302.45,4218.68,4256.97,51.275163,308.33,311.53,298.96,309.1,203.6548
1502996400,2017-08-17 19:00,4241.91,4335.3,4200.74,4325.23,46.71085,309.1,309.84,301.6,301.6,215.63779
1503000000,2017-08-17 20:00,4307.56,4354.84,4258.56,4346.74,48.975472,301.6,309.4,299.01,304.79,272.42251
1503003600,2017-08-17 21:00,4346.74,4369.69,4309.23,4333.55,61.773036,304.79,309.4,304.04,307.44,330.54526
1503007200,2017-08-17 22:00,4333.55,4359.13,4310.0,4336.8,57.376142,308.57,310.74,303.44,306.74,368.36785
1503010800,2017-08-17 23:00,4313.39,4337.38,4280.82,4285.08,81.645263,306.74,310.85,302.0,302.0,229.6062
1503014400,2017-08-18 00:00,4285.08,4340.62,4228.76,4286.53,82.435474,302.0,306.2,297.4,301.19,501.26558
1503018000,2017-08-18 01:00,4269.36,4269.36,4134.61,4243.59,75.684883,300.08,305.55,295.19,298.73,374.41661
1503021600,2017-08-18 02:00,4251.95,4298.64,4234.0,4267.59,54.071337,298.73,304.7,298.73,300.52,208.96849
1503025200,2017-08-18 03:00,4244.77,4308.7,4234.0,4292.39,64.001349,300.05,306.47,300.05,301.4,605.93251
1503028800,2017-08-18 04:00,4292.39,4292.39,4234.43,4287.92,50.797515,301.4,302.95,298.41,301.8,444.33795
1503032400,2017-08-18 05:00,4287.92,4340.62,4250.04,4313.56,64.169286,301.8,305.92,300.0,304.7,525.33357
1503036000,2017-08-18 06:00,4313.56,4316.98,4247.75,4279.46,64.235424,304.7,307.0,303.21,307.0,356.1222
1503039600,2017-08-18 07:00,4279.46,4304.67,4270.48,4300.25,69.186804,307.0,309.49,305.23,306.24,406.73244
1503043200,2017-08-18 08:00,4285.0,4320.71,4259.85,4282.73,74.829849,306.24,310.85,303.79,304.23,313.23742
1503046800,2017-08-18 09:00,4265.33,4327.25,4265.33,4304.15,45.653156,304.23,307.72,303.22,304.71,306.05941
1503050400,2017-08-18 10:00,4304.15,4371.52,4296.04,4356.31,51.563675,304.73,311.06,304.73,308.88,332.5643
1503054000,2017-08-18 11:00,4356.31,4357.37,4302.72,4340.31,24.093449,308.88,311.79,306.27,307.78,261.1517
1503057600,2017-08-18 12:00,4320.52,4340.31,4287.79,4331.71,15.118957,307.78,310.29,305.73,308.47,388.17208
1503061200,2017-08-18 13:00,4302.97,4318.16,4221.05,4293.09,46.533767,307.17,309.66,301.3,303.22,357.19041
1503064800,2017-08-18 14:00,4293.09,4293.09,4193.7,4259.4,74.368943,303.22,303.22,296.32,298.52,398.64644
1503068400,2017-08-18 15:00,4259.4,4259.4,4200.0,4236.89,39.947717,298.52,300.99,297.32,298.8,214.98578
1503072000,2017-08-18 16:00,4234.54,4283.79,4234.54,4250.34,45.038824,298.8,301.11,295.64,299.21,403.96386
1503075600,2017-08-18 17:00,4250.34,4250.34,4066.53,4193.35,62.691466,297.5,299.21,293.18,295.53,359.12225
1503079200,2017-08-18 18:00,4171.17,4297.75,4117.41,4117.41,25.318654,295.53,298.25,289.75,289.75,412.39491
1503082800,2017-08-18 19:00,4086.28,4136.48,4015.7,4136.28,60.598026,289.75,295.6,287.37,293.83,445.23397
1503086400,2017-08-18 20:00,4135.0,4135.0,3981.13,4021.11,19.968037,295.46,295.46,288.25,291.87,748.21537
1503090000,2017-08-18 21:00,4015.4,4015.4,3938.77,3975.69,14.738631,291.87,291.87,283.94,286.3,602.03512
1503093600,2017-08-18 22:00,3996.92,4131.83,3938.77,4113.75,29.906205,288.01,294.19,284.02,293.74,477.84453
1503097200,2017-08-18 23:00,4106.35,4136.48,4085.88,4108.37,44.936836,293.74,294.18,289.97,293.96,93.91956
1503100800,2017-08-19 00:00,4108.37,4178.31,4084.28,4163.49,41.308877,293.31,297.15,293.31,295.44,86.0015
1503104400,2017-08-19 01:00,4163.49,4184.69,4143.11,4148.53,28.835177,297.15,298.2,294.24,297.19,41.96377
1503108000,2017-08-19 02:00,4148.53,4184.0,4148.53,4156.39,18.754474,297.19,299.84,296.56,299.84,87.48968
1503111600,2017-08-19 03:00,4180.0,4180.0,4103.52,4138.55,19.61192,298.64,298.64,292.83,293.22,66.73802
1503115200,2017-08-19 04:00,4138.5,4156.0,4046.26,4068.26,17.353232,294.69,297.19,291.87,291.87,42.9926
1503118800,2017-08-19 05:00,4123.95,4123.95,4027.83,4077.0,12.514194,297.17,299.9,291.87,293.23,35.01324
1503122400,2017-08-19 06:00,4077.0,4082.0,3986.87,3986.87,51.455431,293.69,295.56,289.02,289.02,45.0222
1503126000,2017-08-19 07:00,3969.12,4033.47,3933.21,4033.47,31.429222,289.02,292.17,287.01,290.16,112.26406
1503129600,2017-08-19 08:00,4033.47,4064.84,3964.08,3999.0,18.006405,290.16,290.16,287.0,288.4,148.37539
1503133200,2017-08-19 09:00,3999.0,4082.25,3999.0,4068.2,5.184223,287.66,293.17,287.66,290.3,228.92457
1503136800,2017-08-19 10:00,4054.0,4082.0,3982.08,4000.58,5.886831,291.36,292.24,283.58,287.14,447.45268
1503140400,2017-08-19 11:00,4016.0,4033.0,3850.0,3957.6,48.178583,285.97,287.15,278.0,282.58,314.27781
1503144000,2017-08-19 12:00,3945.12,4095.0,3928.89,4095.0,22.230984,281.39,290.85,279.56,290.85,166.32417
1503147600,2017-08-19 13:00,4095.0,4100.0,4035.49,4039.84,12.705664,290.16,290.16,286.36,286.36,20.94515
1503151200,2017-08-19 14:00,4066.0,4068.31,4013.7,4042.41,4.334426,285.5,288.64,283.0,283.0,13.81812
1503154800,2017-08-19 15:00,4036.59,4063.44,3964.67,3972.05,8.244504,283.88,288.64,283.01,288.64,87.2125
1503158400,2017-08-19 16:00,4036.19,4049.69,3953.4,4000.0,4.084177,288.64,290.16,286.12,286.14,61.94884
1503162000,2017-08-19 17:00,3985.0,4048.99,3976.72,4027.37,3.069548,286.19,293.15,284.16,293.15,11.12991
1503165600,2017-08-19 18:00,4013.69,4096.0,4013.69,4086.29,17.148202,294.33,295.0,288.95,295.0,41.13882
1503169200,2017-08-19 19:00,4073.47,4103.92,4073.47,4076.12,1.623129,292.64,293.38,291.99,293.31,13.16832
1503172800,2017-08-19 20:00,4088.71,4103.92,4051.47,4075.98,2.98757,290.6,291.85,288.8,290.31,13.80734
1503176400,2017-08-19 21:00,4075.98,4149.99,4074.23,4074.23,3.952194,289.9,293.25,289.9,293.25,25.0304
1503180000,2017-08-19 22:00,4090.0,4141.0,4090.0,4139.98,2.358097,293.25,294.9,290.91,290.91,35.15864
1503183600,2017-08-19 23:00,4120.78,4139.98,4120.78,4139.98,0.052699,290.91,290.91,290.91,290.91,0.0
1503187200,2017-08-20 00:00,4120.98,4139.98,4044.0,4086.09,2.343924,289.41,292.42,286.91,287.0,15.54493
1503190800,2017-08-20 01:00,4086.09,4086.09,4052.82,4082.53,1.061151,287.4,290.87,285.96,289.94,17.24852
1503194400,2017-08-20 02:00,4096.33,4124.69,4082.62,4124.69,2.858561,289.94,292.42,287.66,292.42,32.59927
1503198000,2017-08-20 03:00,4111.26,4111.26,4094.62,4094.62,0.347647,292.42,292.42,289.47,292.41,3.0082
1503201600,2017-08-20 04:00,4094.62,4094.62,4091.8,4093.0,0.809243,287.97,288.31,287.97,288.3,6.65904
1503205200,2017-08-20 05:00,4087.0,4142.16,4087.0,4117.41,10.743056,285.39,293.15,285.39,292.17,42.89756
1503208800,2017-08-20 06:00,4117.41,4117.41,4081.19,4115.41,2.915551,292.17,293.15,289.0,293.12,35.00818
1503212400,2017-08-20 07:00,4081.4,4156.56,4081.4,4155.87,14.13606,293.1,295.56,287.87,292.08,167.6975
1503216000,2017-08-20 08:00,4155.87,4211.08,4032.62,4184.73,17.395516,293.02,295.98,282.85,295.98,159.52169
1503219600,2017-08-20 09:00,4155.0,4158.61,4155.0,4155.0,0.39588,292.59,295.96,292.59,295.96,4.86604
1503223200,2017-08-20 10:00,4140.0,4142.41,4109.84,4142.41,0.947044,295.97,296.89,293.43,295.51,24.8355
1503226800,2017-08-20 11:00,4104.68,4125.44,4080.0,4106.53,17.281503,292.59,295.51,292.59,295.0,51.53645
1503230400,2017-08-20 12:00,4106.53,4125.43,4080.0,4108.47,2.76584,295.0,296.92,294.29,296.92,57.35344
1503234000,2017-08-20 13:00,4125.0,4125.0,4063.35,4063.35,1.258162,296.39,296.39,292.28,293.41,6.09547
1503237600,2017-08-20 14:00,4096.32,4096.32,4068.5,4096.32,1.46565,294.25,294.25,294.25,294.25,3.9
1503241200,2017-08-20 15:00,4100.0,4125.0,4100.0,4125.0,23.623614,295.16,295.16,295.1,295.1,0.01579
1503244800,2017-08-20 16:00,4125.0,4150.0,4091.59,4131.46,23.366978,295.1,297.92,293.28,296.46,74.02462
1503248400,2017-08-20 17:00,4131.46,4138.07,4101.4,4129.0,49.216664,296.46,298.79,293.63,296.88,100.71171
1503252000,2017-08-20 18:00,4129.32,4158.61,4116.0,4154.56,48.088875,296.88,300.53,295.89,298.57,41.00621
1503255600,2017-08-20 19:00,4154.56,4185.94,4144.85,4164.6,49.323,298.57,298.57,294.91,297.88,145.82441
1503259200,2017-08-20 20:00,4161.59,4171.62,4116.0,4140.93,53.437635,297.87,297.88,294.51,297.27,260.07005
1503262800,2017-08-20 21:00,4140.93,4156.56,4128.75,4150.0,35.727424,297.27,298.3,295.19,298.13,353.55114
1503266400,2017-08-20 22:00,4162.59,4169.98,4132.31,4169.98,38.098577,298.13,299.52,297.6,298.19,422.41153
1503270000,2017-08-20 23:00,4151.14,4171.62,4069.13,4086.29,69.475467,297.68,300.53,297.19,299.1,483.75146
1503273600,2017-08-21 00:00,4069.13,4119.62,4062.78,4108.28,53.091325,299.1,300.9,295.76,300.7,370.66684
1503277200,2017-08-21 01:00,4108.28,4114.86,4080.66,4094.6,55.969147,300.7,300.7,294.6,299.0,213.50155
1503280800,2017-08-21 02:00,4094.6,4109.26,4039.0,4079.94,58.961149,299.0,299.0,294.6,297.51,71.7529
1503284400,2017-08-21 03:00,4079.94,4104.68,4048.74,4084.76,52.816522,299.0,299.85,297.12,299.85,67.88466
1503288000,2017-08-21 04:00,4079.26,4104.68,4047.75,4104.68,39.490772,300.03,304.83,299.11,303.91,275.6582
1503291600,2017-08-21 05:00,4104.68,4104.68,4011.02,4016.9,67.180302,303.91,314.28,303.91,314.05,256.5098
1503295200,2017-08-21 06:00,4011.04,4032.01,3953.4,3982.96,66.697745,314.05,329.49,313.28,321.79,232.70889
1503298800,2017-08-21 07:00,3982.96,4055.92,3970.63,4043.63,49.20631,320.28,325.3,313.0,318.5,123.69424
1503302400,2017-08-21 08:00,4043.63,4055.92,4010.78,4036.3,54.912335,317.48,324.3,312.75,318.72,21.51
1503306000,2017-08-21 09:00,4036.3,4077.07,4035.82,4074.0,3.904708,317.86,318.27,314.98,317.29,23.53728
1503309600,2017-08-21 10:00,4066.0,4088.12,4066.0,4088.1,5.090504,317.29,325.3,316.77,321.21,85.346
1503313200,2017-08-21 11:00,4063.0,4063.0,4000.01,4023.11,14.970767,318.99,333.66,312.6,331.53,76.98358
