ts_utc,open,high,low,close,volume
1502942400,301.13,302.57,298.0,301.61,125.66877
1502946000,301.61,303.28,300.0,303.1,377.67246
1502949600,302.4,304.44,301.9,302.68,303.86672
1502953200,302.68,307.96,302.6,307.96,754.7451
1502956800,307.95,309.97,307.0,308.62,150.75029
1502960400,308.62,312.0,308.62,310.0,469.27879
1502964000,310.0,310.97,308.54,309.3,284.3914
1502967600,308.3,310.68,307.78,308.95,273.2904
1502971200,308.95,310.51,307.98,308.62,401.79278
1502974800,308.62,309.72,307.77,309.4,310.58042
1502978400,307.77,308.71,305.49,306.5,710.25965
1502982000,306.5,308.76,303.56,307.06,459.41982
1502985600,307.74,312.18,298.21,308.0,596.81077
1502989200,308.0,308.33,303.98,308.33,191.94856
1502992800,308.33,311.53,298.96,309.1,203.6548
1502996400,309.1,309.84,301.6,301.6,215.63779
1503000000,301.6,309.4,299.01,304.79,272.42251
1503003600,304.79,309.4,304.04,307.44,330.54526
1503007200,308.57,310.74,303.44,306.74,368.36785
1503010800,306.74,310.85,302.0,302.0,229.6062
1503014400,302.0,306.2,297.4,301.19,501.26558
1503018000,300.08,305.55,295.19,298.73,374.41661
1503021600,298.73,304.7,298.73,300.52,208.96849
1503025200,300.05,306.47,300.05,301.4,605.93251
1503028800,301.4,302.95,298.41,301.8,444.33795
1503032400,301.8,305.92,300.0,304.7,525.33357
1503036000,304.7,307.0,303.21,307.0,356.1222
1503039600,307.0,309.49,305.23,306.24,406.73244
1503043200,306.24,310.85,303.79,304.23,313.23742
1503046800,304.23,307.72,303.22,304.71,306.05941
1503050400,304.73,311.06,304.73,308.88,332.5643
1503054000,308.88,311.79,306.27,307.78,261.1517
1503057600,307.78,310.29,305.73,308.47,388.17208
1503061200,307.17,309.66,301.3,303.22,357.19041
1503064800,303.22,303.22,296.32,298.52,398.64644
1503068400,298.52,300.99,297.32,298.8,214.98578
1503072000,298.8,301.11,295.64,299.21,403.96386
1503075600,297.5,299.21,293.18,295.53,359.12225
1503079200,295.53,298.25,289.75,289.75,412.39491
1503082800,289.75,295.6,287.37,293.83,445.23397
1503086400,295.46,295.46,288.25,291.87,748.21537
1503090000,291.87,291.87,283.94,286.3,602.03512
1503093600,288.01,294.19,284.02,293.74,477.84453
1503097200,293.74,294.18,289.97,293.96,93.91956
1503100800,293.31,297.15,293.31,295.44,86.0015
1503104400,297.15,298.2,294.24,297.19,41.96377
1503108000,297.19,299.84,296.56,299.84,87.48968
1503111600,298.64,298.64,292.83,293.22,66.73802
1503115200,294.69,297.19,291.87,291.87,42.9926
1503118800,297.17,299.9,291.87,293.23,35.01324
1503122400,293.69,295.56,289.02,289.02,45.0222
1503126000,289.02,292.17,287.01,290.16,112.26406
1503129600,290.16,290.16,287.0,288.4,148.37539
1503133200,287.66,293.17,287.66,290.3,228.92457
1503136800,291.36,292.24,283.58,287.14,447.45268
1503140400,285.97,287.15,278.0,282.58,314.27781
1503144000,281.39,290.85,279.56,290.85,166.32417
1503147600,290.16,290.16,286.36,286.36,20.94515
1503151200,285.5,288.64,283.0,283.0,13.81812
1503154800,283.88,288.64,283.01,288.64,87.2125
1503158400,288.64,290.16,286.12,286.14,61.94884
1503162000,286.19,293.15,284.16,293.15,11.12991
1503165600,294.33,295.0,288.95,295.0,41.13882
1503169200,292.64,293.38,291.99,293.31,13.16832
1503172800,290.6,291.85,288.8,290.31,13.80734
1503176400,289.9,293.25,289.9,293.25,25.0304
1503180000,293.25,294.9,290.91,290.91,35.15864
1503183600,290.91,290.91,290.91,290.91,0.0
1503187200,289.41,292.42,286.91,287.0,15.54493
1503190800,287.4,290.87,285.96,289.94,17.24852
1503194400,289.94,292.42,287.66,292.42,32.59927
1503198000,292.42,292.42,289.47,292.41,3.0082
1503201600,287.97,288.31,287.97,288.3,6.65904
1503205200,285.39,293.15,285.39,292.17,42.89756
1503208800,292.17,293.15,289.0,293.12,35.00818
1503212400,293.1,295.56,287.87,292.08,167.6975
1503216000,293.02,295.98,282.85,295.98,159.52169
1503219600,292.59,295.96,292.59,295.96,4.86604
1503223200,295.97,296.89,293.43,295.51,24.8355
1503226800,292.59,295.51,292.59,295.0,51.53645
1503230400,295.0,296.92,294.29,296.92,57.35344
1503234000,296.39,296.39,292.28,293.41,6.09547
1503237600,294.25,294.25,294.25,294.25,3.9
1503241200,295.16,295.16,295.1,295.1,0.01579
1503244800,295.1,297.92,293.28,296.46,74.02462
1503248400,296.46,298.79,293.63,296.88,100.71171
1503252000,296.88,300.53,295.89,298.57,41.00621
1503255600,298.57,298.57,294.91,297.88,145.82441
1503259200,297.87,297.88,294.51,297.27,260.07005
1503262800,297.27,298.3,295.19,298.13,353.55114
1503266400,298.13,299.52,297.6,298.19,422.41153
1503270000,297.68,300.53,297.19,299.1,483.75146
1503273600,299.1,300.9,295.76,300.7,370.66684
1503277200,300.7,300.7,294.6,299.0,213.50155
1503280800,299.0,299.0,294.6,297.51,71.7529
1503284400,299.0,299.85,297.12,299.85,67.88466
1503288000,300.03,304.83,299.11,303.91,275.6582
1503291600,303.91,314.28,303.91,314.05,256.5098
1503295200,314.05,329.49,313.28,321.79,232.70889
1503298800,320.28,325.3,313.0,318.5,123.69424
1503302400,317.48,324.3,312.75,318.72,21.51
1503306000,317.86,318.27,314.98,317.29,23.53728
1503309600,317.29,325.3,316.77,321.21,85.346
1503313200,318.99,333.66,312.6,331.53,76.98358
1503316800,331.33,331.33,325.42,331.3,94.82266
1503320400,331.3,346.52,329.41,346.52,402.39209
1503324000,344.38,345.31,328.68,334.17,379.94648
1503327600,334.17,338.34,329.47,334.94,350.27902
1503331200,334.34,338.34,333.25,338.33,276.92293
1503334800,337.95,342.72,330.8,332.33,509.09007
1503338400,332.12,333.63,316.82,316.82,503.65311
1503342000,328.47,332.33,327.7,329.71,425.40661
1503345600,332.27,332.74,320.88,325.28,289.46359
1503349200,324.05,326.8,318.42,326.79,58.45958
1503352800,325.79,325.79,318.45,318.45,29.83539
1503356400,318.25,323.29,316.12,323.29,79.41995
1503360000,321.04,330.41,318.72,323.04,406.3495
1503363600,323.04,325.07,302.27,309.97,169.73213
1503367200,309.96,315.2,301.4,312.99,143.49091
1503370800,310.0,317.68,280.0,280.0,90.0427
1503374400,144.21,309.03,144.21,287.0,149.91376
1503378000,287.0,303.0,279.96,279.96,28.29975
1503381600,302.99,310.24,285.69,305.37,228.01188
1503385200,305.37,305.37,294.38,300.35,301.2471
1503388800,300.35,302.26,296.0,299.82,516.27772
1503392400,301.09,310.24,300.3,308.33,557.58036
1503396000,308.33,313.16,305.4,310.24,537.67538
1503399600,309.4,312.93,306.97,308.03,564.59159
1503403200,311.16,311.24,304.53,311.23,671.88512
1503406800,306.66,310.27,306.65,307.08,404.77411
1503410400,307.08,309.53,301.48,305.48,393.09732
1503414000,305.48,309.85,304.88,308.39,287.07405
1503417600,305.08,320.24,305.08,317.74,455.53867
1503421200,316.24,320.76,312.0,312.07,247.04944
1503424800,313.99,315.25,309.6,310.77,378.0474
1503428400,310.77,314.83,307.03,307.03,223.61559
1503432000,307.03,312.0,305.66,310.19,251.25776
1503435600,310.27,311.99,305.08,309.16,277.13507
1503439200,309.16,313.1,309.16,310.61,302.25672
1503442800,310.61,313.99,306.9,309.8,371.40685
1503446400,312.25,313.99,309.41,312.45,202.93145
1503450000,310.56,314.82,310.56,312.67,170.0743
1503453600,314.8,316.27,312.66,314.15,482.22957
1503457200,315.71,319.78,312.98,317.26,233.09815
1503460800,315.45,324.99,315.45,323.0,432.60958
1503464400,320.73,323.26,316.51,316.74,262.04246
1503468000,316.74,323.29,315.35,322.1,435.21335
1503471600,319.77,323.3,318.04,319.06,246.19782
1503475200,319.06,323.19,318.02,322.07,390.97267
1503478800,319.74,324.51,319.74,320.74,312.13542
1503482400,320.74,324.21,319.73,319.74,260.26644
1503486000,319.74,323.07,318.95,319.2,322.4995
1503489600,319.2,322.0,313.75,316.96,598.91827
1503493200,316.96,318.96,314.5,316.0,686.70237
1503496800,315.04,318.96,313.81,318.29,514.84876
1503500400,317.06,319.32,315.53,319.2,305.91619
1503504000,317.87,319.21,315.53,318.85,790.83539
1503507600,318.39,320.32,317.19,318.47,269.24306
1503511200,318.48,321.29,318.25,318.3,253.30139
1503514800,321.19,322.34,316.73,318.57,322.11689
1503518400,318.57,320.2,312.05,313.75,481.54407
1503522000,314.74,319.47,314.66,316.68,239.65437
1503525600,318.12,318.62,313.78,316.74,203.49297
1503529200,316.74,319.47,315.45,315.74,248.88125
1503532800,315.74,318.45,314.4,317.44,280.73305
1503536400,315.52,318.45,314.01,315.08,316.04429
1503540000,315.08,318.44,314.06,315.05,190.08968
1503543600,315.05,318.44,315.04,315.22,274.30696
1503547200,315.22,319.47,314.31,316.45,256.61959
1503550800,316.46,322.36,316.14,318.0,321.99605
1503554400,319.57,320.53,316.15,320.53,296.71128
1503558000,320.53,321.14,317.53,318.54,198.749
1503561600,318.54,321.07,318.54,320.32,289.02874
1503565200,320.32,322.0,318.53,318.75,339.18864
1503568800,320.03,321.3,316.66,317.02,630.71733
1503572400,317.02,323.61,316.14,323.61,411.56848
1503576000,322.51,328.04,317.9,322.0,347.54966
1503579600,319.01,325.37,318.97,324.8,355.6927
1503583200,323.8,326.79,320.84,320.84,316.22927
1503586800,320.84,323.98,320.84,321.2,118.57683
1503590400,323.67,323.68,319.0,322.0,203.90406
1503594000,322.0,323.56,318.97,322.45,203.63927
1503597600,322.45,323.79,320.17,322.76,242.60003
1503601200,322.76,325.35,321.22,321.23,258.98256
1503604800,321.23,324.0,318.97,320.04,138.61314
1503608400,320.04,322.29,318.97,321.21,265.99646
1503612000,321.22,326.33,319.83,323.72,308.09107
1503615600,323.72,326.25,322.3,323.42,187.64378
1503619200,323.42,327.81,323.42,325.54,485.63977
1503622800,327.8,328.82,324.41,328.81,462.31574
1503626400,328.81,329.93,324.42,328.19,258.63675
1503630000,328.19,330.44,325.4,326.55,200.25624
1503633600,326.55,331.35,326.55,331.35,324.10004
1503637200,331.34,335.0,329.18,331.73,244.29766
1503640800,331.74,333.31,328.69,330.17,225.1556
1503644400,330.17,334.34,330.17,330.29,322.05362
1503648000,330.29,334.34,329.86,334.17,318.27009
1503651600,332.68,335.41,331.09,331.09,217.82876
1503655200,330.11,333.42,327.69,329.78,333.09478
1503658800,331.69,331.69,327.4,331.26,330.23241
1503662400,329.68,335.33,328.72,330.7,1348.31341
1503666000,333.32,334.74,330.68,332.0,184.12642
1503669600,332.89,333.68,330.67,331.95,286.77891
1503673200,332.57,335.33,330.68,333.15,141.95926
1503676800,335.29,338.28,333.15,334.77,199.13677
1503680400,336.35,337.0,331.88,332.01,138.08871
1503684000,333.2,336.49,331.88,333.27,146.0636
1503687600,333.27,335.1,325.42,328.71,267.97046
1503691200,329.91,330.99,324.9,330.98,196.49748
1503694800,327.8,332.26,326.77,330.18,201.4709
1503698400,330.18,332.27,326.99,328.6,100.21031
1503702000,329.81,330.99,326.25,327.24,193.47193
1503705600,327.24,332.27,327.24,328.26,153.95314
1503709200,332.26,332.26,325.02,325.39,122.8132
1503712800,324.41,328.02,323.41,324.72,174.12675
1503716400,324.72,328.02,323.46,323.46,118.68492
1503720000,323.46,326.74,323.41,324.72,196.89672
1503723600,323.56,326.86,323.55,326.23,285.19418
1503727200,325.23,329.69,324.06,326.19,199.73728
1503730800,326.19,328.91,325.17,327.9,388.87032
1503734400,328.45,330.73,327.58,328.82,186.8631
1503738000,330.63,330.89,326.69,327.69,167.41761
1503741600,327.69,330.89,327.69,327.89,257.33601
1503745200,330.87,331.25,326.69,327.89,244.92428
1503748800,328.25,330.11,325.1,330.11,231.13593
1503752400,326.14,332.26,324.06,330.98,309.07769
1503756000,330.98,335.44,329.83,332.34,190.9403
1503759600,332.34,334.16,327.0,327.0,209.4309
1503763200,327.01,330.38,326.7,330.38,156.03136
1503766800,330.38,332.11,326.79,331.04,196.30353
1503770400,327.38,332.1,327.03,328.08,226.97145
1503774000,329.78,334.17,328.88,331.19,223.69461
1503777600,332.68,334.17,330.18,331.12,213.56767
1503781200,331.12,334.16,330.49,334.16,10.76919
1503784800,330.51,332.93,329.33,330.6,247.83683
1503788400,332.43,334.17,330.6,330.79,165.10824
1503792000,332.18,336.55,330.79,334.37,345.34454
1503795600,334.37,336.55,331.98,334.47,175.00161
1503799200,334.47,338.28,333.12,333.12,264.11435
1503802800,333.96,335.99,330.79,331.62,272.16184
1503806400,334.5,338.29,331.49,334.84,225.92548
1503810000,337.52,337.52,331.86,335.0,209.66722
1503813600,332.75,336.36,332.74,333.77,94.16174
1503817200,335.0,336.49,332.77,332.77,159.41236
1503820800,332.77,334.7,331.61,334.48,191.57696
1503824400,332.0,336.25,330.73,336.25,171.54931
1503828000,334.88,337.53,332.28,337.53,208.23048
1503831600,337.53,338.42,333.68,333.94,285.89314
1503835200,333.93,336.9,331.88,333.57,104.46136
1503838800,333.57,336.99,333.52,335.6,190.68012
1503842400,333.61,336.99,332.21,332.21,176.45375
1503846000,333.96,336.49,332.21,334.67,193.94708
1503849600,335.04,336.49,332.97,334.83,219.16864
1503853200,336.5,339.14,334.67,337.56,277.35622
1503856800,339.89,340.29,336.02,340.26,115.46914
1503860400,340.24,341.47,337.12,339.64,183.13777
1503864000,341.47,341.47,337.12,340.36,212.10891
1503867600,340.36,341.47,337.13,338.66,136.6202
1503871200,338.66,341.43,338.46,338.81,168.79731
1503874800,338.81,348.13,338.81,348.13,54.19762
1503878400,348.11,351.0,345.83,345.87,240.20694
1503882000,346.6,348.0,343.57,347.87,103.71249
1503885600,344.18,350.85,343.76,350.84,98.01125
1503889200,350.84,350.84,343.44,343.44,298.7036
1503892800,343.43,343.69,331.95,338.54,582.93715
1503896400,338.54,340.41,333.79,336.01,166.14597
1503900000,337.19,340.18,336.01,338.26,224.47022
1503903600,338.26,341.33,336.65,338.77,166.39564
1503907200,340.89,341.92,338.31,339.5,169.69262
1503910800,338.34,340.51,336.54,340.48,120.15133
1503914400,340.48,340.7,337.13,339.81,124.56626
1503918000,339.81,342.86,338.77,341.9,221.6374
1503921600,339.62,344.86,339.34,341.76,100.7591
1503925200,347.33,347.41,341.64,341.96,183.23626
1503928800,342.19,345.18,341.65,342.95,100.89855
1503932400,342.95,345.89,341.83,341.83,202.40127
1503936000,341.83,345.88,340.66,343.2,203.24719
1503939600,343.2,344.78,340.49,340.49,160.23094
1503943200,341.84,345.69,341.77,345.0,176.28286
1503946800,344.82,347.42,343.37,344.3,219.30128
1503950400,342.54,346.2,342.2,342.29,95.24482
1503954000,342.4,347.42,342.16,346.51,182.37778
1503957600,346.42,348.5,345.31,348.49,103.748
1503961200,348.2,348.2,345.28,346.0,34.82278
1503964800,347.0,349.55,346.0,348.98,46.56295
1503968400,349.83,351.94,347.06,349.98,60.23594
1503972000,348.9,350.99,347.38,348.0,32.4571
1503975600,349.34,353.23,348.22,350.03,137.58977
1503979200,351.19,351.73,350.02,351.68,11.12142
1503982800,351.73,355.0,351.6,355.0,27.21856
1503986400,355.0,355.79,350.72,354.93,77.59397
1503990000,355.79,360.79,352.32,354.18,265.69325
1503993600,354.17,357.49,354.01,355.22,44.19242
1503997200,356.2,362.99,356.2,362.99,87.63842
1504000800,362.0,367.13,360.13,362.2,193.08164
1504004400,365.29,365.29,356.74,356.75,138.5278
1504008000,358.1,364.71,358.1,358.42,119.02615
1504011600,362.0,365.46,360.0,364.35,116.52032
1504015200,364.36,365.43,361.31,362.17,351.56358
1504018800,362.17,367.4,362.04,364.57,150.84565
1504022400,365.74,369.41,362.79,368.16,176.91074
1504026000,368.16,373.66,366.94,370.43,212.34052
1504029600,372.6,373.52,367.54,368.9,122.6807
1504033200,368.9,373.42,365.65,367.44,182.91059
1504036800,367.44,374.13,367.36,370.77,265.69481
1504040400,370.79,376.76,370.77,376.76,161.95325
1504044000,376.76,377.6,373.52,374.51,41.60678
1504047600,377.49,377.49,374.7,374.7,8.16792
1504051200,374.7,374.7,367.37,371.6,147.66099
1504054800,371.6,377.8,371.0,375.68,41.0148
1504058400,373.39,377.11,371.78,374.9,95.20549
1504062000,375.01,377.27,371.8,373.0,60.41718
1504065600,373.0,380.81,372.92,380.81,64.55169
1504069200,376.6,381.13,376.41,381.13,37.58972
1504072800,380.81,393.71,380.81,385.5,168.8485
1504076400,387.99,392.0,378.14,378.14,181.44888
1504080000,378.16,384.33,374.3,377.23,51.27905
1504083600,375.7,375.7,365.65,365.65,164.91588
1504087200,367.15,377.56,362.05,371.62,941.85909
1504090800,371.62,379.0,371.62,375.9,191.86744
1504094400,373.01,385.33,370.49,382.01,324.20412
1504098000,382.01,382.3,377.8,380.43,257.22121
1504101600,379.78,380.7,374.22,376.2,216.93008
1504105200,376.2,380.89,376.1,379.38,229.15619
1504108800,379.38,383.64,378.72,383.18,182.77938
1504112400,383.18,386.96,382.03,384.95,225.1859
1504116000,383.76,389.8,382.05,384.66,143.03348
1504119600,384.66,387.41,383.38,383.38,127.10316
1504123200,385.34,387.29,382.02,385.0,170.24828
1504126800,385.99,386.11,380.74,382.0,131.15843
1504130400,385.03,386.0,381.99,385.0,139.67697
1504134000,384.52,386.25,381.99,385.93,153.24017
1504137600,384.64,384.64,380.69,381.98,145.44771
1504141200,381.98,384.35,379.42,380.56,164.8065
1504144800,380.58,382.6,377.78,382.52,190.1786
1504148400,382.6,383.8,381.03,383.51,175.96699
1504152000,383.66,385.94,382.47,385.5,228.77137
1504155600,384.04,385.91,381.4,382.16,98.69375
1504159200,383.27,383.41,379.21,379.99,90.77746
1504162800,380.45,383.14,379.99,383.14,64.43431
1504166400,381.89,383.41,379.0,381.87,126.58938
1504170000,381.96,383.39,378.85,379.2,251.80406
1504173600,379.59,385.88,379.2,383.41,237.51757
1504177200,384.59,387.42,382.01,387.42,172.45309
1504180800,385.82,387.41,383.48,387.41,257.545
1504184400,387.0,389.13,385.95,386.49,125.82301
1504188000,387.25,389.36,386.48,386.92,308.8852
1504191600,387.14,388.23,383.48,383.76,213.03073
1504195200,384.38,387.39,383.47,386.69,216.74342
1504198800,384.86,386.81,383.13,385.67,185.44997
1504202400,384.51,386.8,383.13,384.06,256.36961
1504206000,385.47,386.5,383.19,384.45,220.32072
1504209600,385.1,388.25,383.19,384.42,182.3151
1504213200,384.42,388.06,384.42,384.42,152.50791
1504216800,386.21,388.25,384.42,384.59,181.94619
1504220400,385.95,387.79,384.33,384.79,187.4909
1504224000,386.44,388.74,384.79,388.74,162.97779
1504227600,388.69,394.06,387.53,391.37,248.72949
1504231200,392.88,394.39,389.46,390.88,198.82856
1504234800,391.7,393.13,390.86,390.86,141.56114
1504238400,392.65,394.27,387.64,390.33,135.65894
1504242000,388.92,388.99,384.88,384.88,203.48452
1504245600,386.7,388.62,383.18,384.52,85.07529
1504249200,386.26,390.56,384.0,388.4,330.22597
1504252800,389.48,393.08,388.16,389.68,270.82415
1504256400,389.97,392.0,387.46,389.14,248.32828
1504260000,389.02,389.88,387.46,389.88,94.21594
1504263600,389.88,391.9,387.46,389.64,251.82988
1504267200,389.56,391.2,387.01,388.8,205.72149
1504270800,390.0,391.0,389.22,390.5,161.66811
1504274400,390.78,391.06,386.57,388.54,253.38149
1504278000,388.39,391.06,385.88,387.01,207.072
1504281600,387.91,391.47,386.05,388.36,274.83359
1504285200,389.67,392.3,388.35,392.29,186.15346
1504288800,392.29,393.4,388.37,388.37,78.3579
1504292400,388.65,391.07,387.11,388.08,258.27176
1504296000,389.62,394.02,388.08,388.49,84.56341
1504299600,388.59,392.41,388.08,388.13,16.9694
1504303200,390.0,394.02,388.1,390.85,19.8851
1504306800,388.97,391.4,388.34,388.46,80.06668
1504310400,388.58,394.32,388.46,394.32,55.46214
1504314000,392.02,392.02,382.72,384.47,281.23684
1504317600,385.8,387.11,382.05,382.68,204.90006
1504321200,383.34,384.47,373.66,378.52,374.61642
1504324800,378.51,379.6,375.71,375.75,260.91206
1504328400,376.86,377.5,347.61,347.61,565.0526
1504332000,348.77,368.8,347.0,367.6,757.76411
1504335600,368.26,375.0,360.92,363.7,323.02917
1504339200,364.83,364.84,351.62,355.42,287.52031
1504342800,353.54,361.52,351.59,351.6,218.68435
1504346400,351.6,360.11,350.42,356.58,478.67878
1504350000,357.78,360.1,354.42,357.0,311.37649
1504353600,358.25,360.28,350.6,351.92,288.33698
1504357200,354.16,357.58,351.91,353.09,206.97354
1504360800,354.42,355.76,332.15,335.32,564.62505
1504364400,336.83,345.01,327.09,341.72,509.23008
1504368000,341.72,342.8,329.73,336.97,511.42159
1504371600,336.97,344.64,332.31,341.63,335.83066
1504375200,344.07,345.27,337.46,339.29,271.73674
1504378800,340.23,341.47,334.93,336.18,234.9934
1504382400,338.08,338.47,325.63,325.63,452.29677
1504386000,327.16,331.08,320.08,324.0,236.00212
1504389600,325.45,340.1,325.45,329.72,229.42859
1504393200,331.77,343.15,329.72,343.14,280.21839
1504396800,343.56,351.63,342.73,347.8,239.93433
1504400400,349.11,352.67,345.62,347.26,331.109
1504404000,349.0,349.0,340.2,347.48,300.72899
1504407600,347.0,352.48,345.39,348.85,142.7059
1504411200,348.85,359.01,348.84,355.21,179.51396
1504414800,353.58,365.73,353.32,363.55,129.15333
1504418400,361.66,367.28,356.0,356.01,156.21616
1504422000,356.41,360.99,354.0,357.81,232.64892
1504425600,357.82,363.45,354.0,356.0,339.43708
1504429200,355.61,356.0,341.52,344.0,426.72807
1504432800,343.78,349.38,339.79,340.42,231.66561
1504436400,339.79,344.08,334.75,336.54,202.2082
1504440000,337.69,343.12,330.07,343.0,281.48732
1504443600,341.42,348.22,320.08,326.41,553.70559
1504447200,323.02,331.29,320.17,325.3,382.0885
1504450800,325.3,337.34,321.92,329.34,372.88541
1504454400,329.35,337.48,328.3,332.02,125.5305
1504458000,337.81,347.73,333.29,343.99,206.25522
1504461600,344.27,345.29,337.35,345.29,96.897
1504465200,345.29,345.29,340.33,343.03,23.08546
1504468800,343.61,347.68,342.37,342.37,106.79793
1504472400,340.43,345.77,337.35,341.71,68.48573
1504476000,342.0,346.71,341.12,341.38,71.36327
1504479600,346.48,346.65,337.58,341.77,52.99063
1504483200,339.29,344.55,333.01,333.09,74.42295
1504486800,334.84,338.29,333.17,335.65,83.07743
1504490400,335.65,339.77,333.18,335.44,123.21426
1504494000,335.44,335.44,328.27,329.62,67.28766
1504497600,329.62,339.26,327.35,330.0,193.71732
1504501200,330.01,338.97,329.04,334.99,178.88612
1504504800,333.99,333.99,328.19,333.3,185.57991
1504508400,332.42,335.5,270.38,275.01,810.89752
1504512000,284.51,309.8,270.0,302.37,1022.98756
1504515600,297.28,314.27,282.32,310.11,517.27911
1504519200,310.2,314.27,304.55,305.1,311.59087
1504522800,303.17,305.08,286.01,289.93,394.26104
1504526400,286.35,289.99,273.02,280.03,311.89836
1504530000,280.15,298.18,273.26,293.81,277.69973
1504533600,291.63,294.76,276.6,277.0,421.33447
1504537200,279.93,280.32,267.94,269.54,424.09091
1504540800,268.93,275.99,268.2,273.48,338.15841
1504544400,274.7,275.5,271.0,271.33,122.96298
1504548000,271.33,290.0,271.33,290.0,128.6501
1504551600,290.0,302.55,290.0,296.43,70.95123
1504555200,299.04,301.94,292.1,301.94,131.28441
1504558800,300.0,312.92,292.56,312.92,170.51713
1504562400,307.83,308.14,292.5,294.64,157.10904
1504566000,295.45,299.9,282.36,283.77,219.95209
1504569600,286.81,298.74,270.22,274.5,500.78612
1504573200,274.5,281.87,235.55,242.0,853.99934
1504576800,242.01,277.78,237.93,275.25,679.40114
1504580400,277.27,278.49,267.02,271.12,567.86779
1504584000,269.61,284.14,268.11,279.01,265.54589
1504587600,279.5,280.0,271.51,271.51,215.68994
1504591200,273.72,283.4,272.85,282.49,524.40265
1504594800,278.92,297.25,278.92,296.52,536.04811
1504598400,296.56,299.64,285.42,288.0,545.59218
1504602000,286.66,292.99,282.52,289.84,319.02446
1504605600,289.92,298.0,289.15,290.8,185.43677
1504609200,292.01,298.0,290.09,295.98,447.59856
1504612800,295.79,304.99,295.67,299.16,292.86924
